"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Jefferson","United States President Democratic Party","Elizabeth Warren"," ","1469","10.6357","Federal"
"Jefferson","United States President Democratic Party","Andrew Yang"," ","31","0.2244","Federal"
"Jefferson","United States President Democratic Party","Uncommitted Delegates"," ","85","0.6154","Federal"
"Jefferson","United States President Democratic Party","Write-in"," ","14","0.1014","Federal"
"Jefferson","United States President Republican Party","Donald J. Trump"," ","3369","98.0786","Federal"
"Jefferson","United States President Republican Party","Write-in"," ","66","1.9214","Federal"
"King","United States President Democratic Party","Michael Bennet"," ","560","0.0909","Federal"
"King","United States President Democratic Party","Joseph R. Biden"," ","235655","38.2643","Federal"
"King","United States President Democratic Party","Michael Bloomberg"," ","36978","6.0043","Federal"
"King","United States President Democratic Party","Cory Booker"," ","459","0.0745","Federal"
"King","United States President Democratic Party","Pete Buttigieg"," ","21278","3.455","Federal"
"King","United States President Democratic Party","John Delaney"," ","128","0.0208","Federal"
"King","United States President Democratic Party","Tulsi Gabbard"," ","3701","0.6009","Federal"
"King","United States President Democratic Party","Amy Klobuchar"," ","12130","1.9696","Federal"
"King","United States President Democratic Party","Deval Patrick"," ","149","0.0242","Federal"
"King","United States President Democratic Party","Bernie Sanders"," ","232575","37.7641","Federal"
"King","United States President Democratic Party","Tom Steyer"," ","814","0.1322","Federal"
"King","United States President Democratic Party","Elizabeth Warren"," ","67096","10.8946","Federal"
"King","United States President Democratic Party","Andrew Yang"," ","2370","0.3848","Federal"
"King","United States President Democratic Party","Uncommitted Delegates"," ","1545","0.2509","Federal"
"King","United States President Democratic Party","Write-in"," ","424","0.0688","Federal"
"King","United States President Republican Party","Donald J. Trump"," ","101141","97.3774","Federal"
"King","United States President Republican Party","Write-in"," ","2724","2.6226","Federal"
"Kitsap","United States President Democratic Party","Michael Bennet"," ","65","0.1055","Federal"
"Kitsap","United States President Democratic Party","Joseph R. Biden"," ","23998","38.9616","Federal"
"Kitsap","United States President Democratic Party","Michael Bloomberg"," ","5388","8.7476","Federal"
"Kitsap","United States President Democratic Party","Cory Booker"," ","45","0.0731","Federal"
"Kitsap","United States President Democratic Party","Pete Buttigieg"," ","3171","5.1482","Federal"
"Kitsap","United States President Democratic Party","John Delaney"," ","19","0.0308","Federal"
"Kitsap","United States President Democratic Party","Tulsi Gabbard"," ","594","0.9644","Federal"
"Kitsap","United States President Democratic Party","Amy Klobuchar"," ","1715","2.7844","Federal"
"Kitsap","United States President Democratic Party","Deval Patrick"," ","22","0.0357","Federal"
"Kitsap","United States President Democratic Party","Bernie Sanders"," ","20029","32.5178","Federal"
"Kitsap","United States President Democratic Party","Tom Steyer"," ","177","0.2874","Federal"
"Kitsap","United States President Democratic Party","Elizabeth Warren"," ","5713","9.2753","Federal"
"Kitsap","United States President Democratic Party","Andrew Yang"," ","258","0.4189","Federal"
"Kitsap","United States President Democratic Party","Uncommitted Delegates"," ","341","0.5536","Federal"
"Kitsap","United States President Democratic Party","Write-in"," ","59","0.0958","Federal"
"Kitsap","United States President Republican Party","Donald J. Trump"," ","27631","98.345","Federal"
"Kitsap","United States President Republican Party","Write-in"," ","465","1.655","Federal"
"Kittitas","United States President Democratic Party","Michael Bennet"," ","13","0.1734","Federal"
"Kittitas","United States President Democratic Party","Joseph R. Biden"," ","2561","34.1603","Federal"
"Kittitas","United States President Democratic Party","Michael Bloomberg"," ","597","7.9632","Federal"
"Kittitas","United States President Democratic Party","Cory Booker"," ","11","0.1467","Federal"
"Kittitas","United States President Democratic Party","Pete Buttigieg"," ","328","4.3751","Federal"
"Kittitas","United States President Democratic Party","John Delaney"," ","4","0.0534","Federal"
"Kittitas","United States President Democratic Party","Tulsi Gabbard"," ","107","1.4272","Federal"
"Kittitas","United States President Democratic Party","Amy Klobuchar"," ","224","2.9879","Federal"
"Kittitas","United States President Democratic Party","Deval Patrick"," ","3","0.04","Federal"
"Kittitas","United States President Democratic Party","Bernie Sanders"," ","2883","38.4554","Federal"
"Kittitas","United States President Democratic Party","Tom Steyer"," ","21","0.2801","Federal"
"Kittitas","United States President Democratic Party","Elizabeth Warren"," ","667","8.8969","Federal"
"Kittitas","United States President Democratic Party","Andrew Yang"," ","36","0.4802","Federal"
"Kittitas","United States President Democratic Party","Uncommitted Delegates"," ","40","0.5335","Federal"
"Kittitas","United States President Democratic Party","Write-in"," ","2","0.0267","Federal"
"Kittitas","United States President Republican Party","Donald J. Trump"," ","6761","99.1785","Federal"
"Kittitas","United States President Republican Party","Write-in"," ","56","0.8215","Federal"
"Klickitat","United States President Democratic Party","Michael Bennet"," ","5","0.1203","Federal"
"Klickitat","United States President Democratic Party","Joseph R. Biden"," ","1475","35.4994","Federal"
"Klickitat","United States President Democratic Party","Michael Bloomberg"," ","345","8.3032","Federal"
"Klickitat","United States President Democratic Party","Cory Booker"," ","5","0.1203","Federal"
"Klickitat","United States President Democratic Party","Pete Buttigieg"," ","204","4.9097","Federal"
"Klickitat","United States President Democratic Party","John Delaney"," ","5","0.1203","Federal"
"Klickitat","United States President Democratic Party","Tulsi Gabbard"," ","45","1.083","Federal"
"Klickitat","United States President Democratic Party","Amy Klobuchar"," ","114","2.7437","Federal"
"Klickitat","United States President Democratic Party","Deval Patrick"," ","1","0.0241","Federal"
"Klickitat","United States President Democratic Party","Bernie Sanders"," ","1526","36.7268","Federal"
"Klickitat","United States President Democratic Party","Tom Steyer"," ","18","0.4332","Federal"
"Klickitat","United States President Democratic Party","Elizabeth Warren"," ","356","8.568","Federal"
"Klickitat","United States President Democratic Party","Andrew Yang"," ","13","0.3129","Federal"
"Klickitat","United States President Democratic Party","Uncommitted Delegates"," ","38","0.9146","Federal"
"Klickitat","United States President Democratic Party","Write-in"," ","5","0.1203","Federal"
"Klickitat","United States President Republican Party","Donald J. Trump"," ","3957","98.8262","Federal"
"Klickitat","United States President Republican Party","Write-in"," ","47","1.1738","Federal"
"Lewis","United States President Democratic Party","Michael Bennet"," ","21","0.2132","Federal"
"Lewis","United States President Democratic Party","Joseph R. Biden"," ","3512","35.6584","Federal"
"Lewis","United States President Democratic Party","Michael Bloomberg"," ","1120","11.3717","Federal"
"Lewis","United States President Democratic Party","Cory Booker"," ","14","0.1421","Federal"
"Lewis","United States President Democratic Party","Pete Buttigieg"," ","488","4.9548","Federal"
"Lewis","United States President Democratic Party","John Delaney"," ","12","0.1218","Federal"
"Lewis","United States President Democratic Party","Tulsi Gabbard"," ","113","1.1473","Federal"
"Lewis","United States President Democratic Party","Amy Klobuchar"," ","216","2.1931","Federal"
"Lewis","United States President Democratic Party","Deval Patrick"," ","5","0.0508","Federal"
