Office,Parish,Ward,Precinct,"Belden ""Noonie Man"" Batiste (IND)","Glenn Adrain Harris (DEM)","Colby James (IND)","Cedric L. Richmond (DEM)","David M. Schilling (REP)","Sheldon C. Vincent, Sr. (REP)"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","183","4","23","6","60","77","50"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","184","28","30","11","180","415","134"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","185A","5","13","5","68","188","55"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","185B","2","21","0","130","127","36"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","187","11","64","2","511","11","7"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","188","8","21","6","246","11","9"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","189","22","39","22","148","242","88"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","190","13","32","12","150","317","87"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","191","26","95","10","332","174","52"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","193A","17","27","16","144","122","42"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","193B","18","50","16","194","175","46"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","194A","7","28","8","118","233","57"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","194B","21","38","11","198","276","109"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","195","14","49","6","441","39","10"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","196","18","80","9","412","47","19"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","197A","1","13","2","69","5","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","197B","19","82","12","401","29","5"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","200","13","35","3","293","4","4"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","201","13","46","5","390","8","3"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","202","8","23","2","79","184","41"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","203","19","38","10","135","210","67"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","204","10","19","7","117","233","70"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","205","11","62","7","385","23","12"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","210","8","18","2","80","51","22"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","211","12","28","9","84","103","49"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","212","10","42","4","305","8","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","213A","5","33","1","90","15","6"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","213B","19","28","9","142","131","48"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","213C","7","49","2","129","5","2"
"U. S. Representative -- 2nd Congressional District","Jefferson","00","214A","3","23","2","62","60","19"
